[Gene36_UP] -> [Gene2_Down] ( confidence : 0.6721311475409836 | support : 0.41 ),
[Gene2_Down] -> [Gene36_UP] ( confidence : 0.6212121212121212 | support : 0.41 ),
[Gene37_UP] -> [Gene38_Down] ( confidence : 0.7321428571428571 | support : 0.41 ),
[Gene38_Down] -> [Gene37_UP] ( confidence : 0.5616438356164384 | support : 0.41 ),
[Gene52_Down] -> [Gene24_Down] ( confidence : 0.7076923076923077 | support : 0.46 ),
[Gene24_Down] -> [Gene52_Down] ( confidence : 0.7301587301587301 | support : 0.46 ),
[Gene69_Down] -> [Gene67_UP] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene67_UP] -> [Gene69_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene72_UP] -> [Gene66_UP] ( confidence : 0.581081081081081 | support : 0.43 ),
[Gene66_UP] -> [Gene72_UP] ( confidence : 0.7288135593220338 | support : 0.43 ),
[Gene47_UP] -> [Gene91_UP] ( confidence : 0.7272727272727273 | support : 0.48 ),
[Gene91_UP] -> [Gene47_UP] ( confidence : 0.7384615384615385 | support : 0.48 ),
[Gene81_UP] -> [Gene8_UP] ( confidence : 0.7758620689655172 | support : 0.45 ),
[Gene8_UP] -> [Gene81_UP] ( confidence : 0.6818181818181818 | support : 0.45 ),
[Gene80_Down] -> [Gene59_UP] ( confidence : 0.75 | support : 0.48 ),
[Gene59_UP] -> [Gene80_Down] ( confidence : 0.631578947368421 | support : 0.48 ),
[Gene76_Down] -> [Gene36_UP] ( confidence : 0.6774193548387096 | support : 0.42 ),
[Gene36_UP] -> [Gene76_Down] ( confidence : 0.6885245901639344 | support : 0.42 ),
[Gene10_Down] -> [Gene1_UP] ( confidence : 0.7142857142857143 | support : 0.5 ),
[Gene1_UP] -> [Gene10_Down] ( confidence : 0.7246376811594203 | support : 0.5 ),
[Gene28_Down] -> [Gene21_UP] ( confidence : 0.6619718309859155 | support : 0.47 ),
[Gene21_UP] -> [Gene28_Down] ( confidence : 0.7580645161290323 | support : 0.47 ),
[Gene2_Down] -> [Gene94_UP] ( confidence : 0.6363636363636364 | support : 0.42 ),
[Gene94_UP] -> [Gene2_Down] ( confidence : 0.6774193548387096 | support : 0.42 ),
[Gene55_UP] -> [Gene72_UP] ( confidence : 0.7454545454545455 | support : 0.41 ),
[Gene72_UP] -> [Gene55_UP] ( confidence : 0.5540540540540541 | support : 0.41 ),
[Gene14_UP] -> [Gene96_Down] ( confidence : 0.7692307692307693 | support : 0.4 ),
[Gene96_Down] -> [Gene14_UP] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene72_UP] -> [Gene6_UP] ( confidence : 0.6486486486486487 | support : 0.48 ),
[Gene6_UP] -> [Gene72_UP] ( confidence : 0.7272727272727273 | support : 0.48 ),
[Gene55_UP] -> [Gene59_UP] ( confidence : 0.8 | support : 0.44 ),
[Gene59_UP] -> [Gene55_UP] ( confidence : 0.5789473684210527 | support : 0.44 ),
[Gene47_UP] -> [Gene67_UP] ( confidence : 0.6363636363636364 | support : 0.42 ),
[Gene67_UP] -> [Gene47_UP] ( confidence : 0.6774193548387096 | support : 0.42 ),
[Gene54_UP] -> [Gene32_Down] ( confidence : 0.6716417910447762 | support : 0.45 ),
[Gene32_Down] -> [Gene54_UP] ( confidence : 0.6617647058823529 | support : 0.45 ),
[Gene80_Down] -> [Gene47_UP] ( confidence : 0.6875 | support : 0.44 ),
[Gene47_UP] -> [Gene80_Down] ( confidence : 0.6666666666666666 | support : 0.44 ),
[Gene54_UP] -> [Gene72_UP] ( confidence : 0.7313432835820896 | support : 0.49 ),
[Gene72_UP] -> [Gene54_UP] ( confidence : 0.6621621621621622 | support : 0.49 ),
[Gene87_UP] -> [Gene28_Down] ( confidence : 0.7761194029850746 | support : 0.52 ),
[Gene28_Down] -> [Gene87_UP] ( confidence : 0.7323943661971831 | support : 0.52 ),
[Gene70_Down] -> [Gene54_UP] ( confidence : 0.6212121212121212 | support : 0.41 ),
[Gene54_UP] -> [Gene70_Down] ( confidence : 0.6119402985074627 | support : 0.41 ),
[Gene28_Down] -> [Gene54_UP] ( confidence : 0.647887323943662 | support : 0.46 ),
[Gene54_UP] -> [Gene28_Down] ( confidence : 0.6865671641791045 | support : 0.46 ),
[Gene82_Down] -> [Gene52_Down] ( confidence : 0.6764705882352942 | support : 0.46 ),
[Gene52_Down] -> [Gene82_Down] ( confidence : 0.7076923076923077 | support : 0.46 ),
